震级,日期,时间,纬度,经度,深度,地点
5.7,2024-01-04,12:56:36,-20.90,-176.15,210,斐济群岛
2.4,2024-01-04,02:49:32,41.18,114.47,10,河北张家口市张北县
3.5,2024-01-03,18:08:25,24.76,117.49,13,福建漳州市华安县
5.5,2024-01-03,16:03:59,-28.50,-68.85,170,阿根廷
7.4,2024-01-01,15:10:10,37.50,137.20,30,日本本州西岸近海
2.9,2024-01-01,07:04:18,31.67,104.12,16,四川绵阳市安州区
4.9,2023-12-31,22:27:38,36.74,105.00,10,甘肃白银市平川区
3.2,2023-12-31,14:07:04,29.40,104.46,8,四川自贡市荣县
6.3,2023-12-31,01:16:26,-3.30,139.30,50,印度尼西亚
5.5,2023-12-30,13:19:27,2.45,93.00,10,印尼苏门答腊岛北部西岸远海
3.0,2023-12-30,10:15:56,36.55,122.34,12,山东威海市荣成市海域
3.1,2023-12-30,02:44:33,39.41,78.11,15,新疆喀什地区巴楚县
5.0,2023-12-30,00:31:16,24.95,96.45,10,缅甸
5.6,2023-12-29,09:18:49,-7.20,67.75,10,中印度洋海岭
3.2,2023-12-28,19:51:48,24.80,99.20,10,云南保山市施甸县
6.5,2023-12-28,17:15:16,44.40,149.15,30,千岛群岛
3.0,2023-12-28,05:15:50,43.09,94.21,10,新疆哈密市伊州区
3.1,2023-12-27,04:22:45,32.30,105.01,10,四川广元市青川县
3.3,2023-12-27,00:08:16,35.73,102.82,10,甘肃临夏州积石山县
3.3,2023-12-26,18:11:21,40.19,76.09,20,新疆克孜勒苏州阿图什市
3.1,2023-12-25,14:48:03,40.90,83.96,10,新疆阿克苏地区库车市
3.0,2023-12-25,04:23:03,38.66,102.10,13,甘肃金昌市金川区
3.1,2023-12-24,22:28:44,40.01,77.96,17,新疆克孜勒苏州阿图什市
3.3,2023-12-24,19:51:41,38.43,75.39,142,新疆克孜勒苏州阿克陶县
2.8,2023-12-24,16:39:37,39.84,118.73,11,河北唐山市滦州市
5.7,2023-12-24,11:23:43,-38.05,-73.45,10,智利
5.6,2023-12-24,07:44:46,-20.35,-173.35,10,汤加群岛
3.3,2023-12-23,18:37:48,40.83,82.66,25,新疆阿克苏地区沙雅县
3.4,2023-12-23,10:31:01,44.80,89.28,14,新疆昌吉州吉木萨尔县
3.1,2023-12-22,22:16:26,41.34,84.49,10,新疆巴音郭楞州轮台县
3.0,2023-12-22,14:43:13,35.73,102.81,8,甘肃临夏州积石山县
6.2,2023-12-21,22:55:59,51.55,-175.45,20,安德烈亚诺夫群岛
3.1,2023-12-21,12:26:04,41.16,83.75,12,新疆阿克苏地区库车市
4.1,2023-12-21,04:02:14,35.77,102.80,8,甘肃临夏州积石山县
6.2,2023-12-20,20:11:18,-16.10,-72.85,100,秘鲁
3.4,2023-12-20,00:32:52,35.76,102.78,9,甘肃临夏州积石山县
3.1,2023-12-19,21:49:48,28.34,104.94,8,四川宜宾市长宁县
5.5,2023-12-19,09:46:21,40.02,77.86,10,新疆克孜勒苏州阿图什市
3.2,2023-12-19,02:10:06,35.83,102.76,10,甘肃临夏州积石山县
3.2,2023-12-19,01:20:12,35.80,102.77,10,甘肃临夏州积石山县
3.2,2023-12-19,01:10:31,35.80,102.78,10,甘肃临夏州积石山县
4.1,2023-12-19,00:59:39,35.83,102.78,10,甘肃临夏州积石山县
3.1,2023-12-19,00:59:11,35.74,102.77,10,甘肃临夏州积石山县
3.4,2023-12-19,00:56:51,35.80,102.79,10,甘肃临夏州积石山县
3.4,2023-12-19,00:43:12,35.78,102.77,10,甘肃临夏州积石山县
4.0,2023-12-19,00:36:18,35.78,102.78,10,甘肃临夏州积石山县
3.9,2023-12-19,00:24:49,35.73,102.78,10,甘肃临夏州积石山县
6.2,2023-12-18,23:59:30,35.70,102.79,10,甘肃临夏州积石山县
3.1,2023-12-17,12:17:19,37.01,76.23,80,新疆喀什地区叶城县
5.6,2023-12-16,14:10:52,-24.30,-180.00,550,斐济群岛以南
3.0,2023-12-16,06:39:39,39.24,77.41,10,新疆喀什地区巴楚县
3.6,2023-12-15,09:01:17,40.84,84.13,17,新疆巴音郭楞州尉犁县
2.3,2023-12-15,08:03:38,39.46,118.04,11,河北唐山市丰南区
3.8,2023-12-14,10:38:59,29.28,105.49,8,四川泸州市泸县
3.0,2023-12-14,05:21:10,39.98,118.04,9,河北唐山市遵化市
3.3,2023-12-13,23:33:33,33.19,88.37,10,西藏那曲市双湖县
3.1,2023-12-13,08:05:15,36.78,77.13,80,新疆喀什地区叶城县
3.0,2023-12-12,23:41:21,38.43,76.05,22,新疆克孜勒苏州阿克陶县
5.8,2023-12-12,12:00:17,-18.00,-175.25,280,汤加群岛
3.0,2023-12-12,03:59:42,39.78,74.52,10,新疆克孜勒苏州乌恰县
6.1,2023-12-11,14:33:32,-18.80,-175.35,270,汤加群岛
4.4,2023-12-09,14:19:25,24.43,122.72,40,台湾宜兰县海域
5.6,2023-12-08,15:20:03,-20.60,169.50,100,瓦努阿图群岛
3.0,2023-12-08,09:47:40,37.64,77.78,22,新疆和田地区皮山县
5.5,2023-12-08,08:41:03,-8.30,157.25,10,所罗门群岛
5.3,2023-12-08,04:03:40,18.35,-98.65,60,墨西哥
3.8,2023-12-07,23:01:45,34.90,119.86,8,江苏连云港市赣榆区海域
7.1,2023-12-07,20:56:31,-20.70,169.50,50,瓦努阿图群岛
5.2,2023-12-07,12:15:38,41.20,49.80,50,里海
3.3,2023-12-06,20:06:56,40.34,111.99,16,内蒙古呼和浩特市和林格尔县
3.0,2023-12-06,00:16:38,44.24,83.81,10,新疆塔城地区乌苏市
5.8,2023-12-05,21:36:38,9.20,126.85,30,菲律宾棉兰老岛附近海域
5.6,2023-12-05,17:10:07,9.00,126.85,50,菲律宾棉兰老岛附近海域
5.7,2023-12-05,16:23:54,13.90,120.65,75,菲律宾
5.5,2023-12-05,15:31:32,12.20,47.50,10,亚丁湾
3.6,2023-12-05,08:48:23,38.33,75.36,136,新疆克孜勒苏州阿克陶县
6.9,2023-12-04,03:49:39,8.90,126.85,50,菲律宾棉兰老岛附近海域
5.9,2023-12-03,22:36:03,8.60,127.15,50,菲律宾棉兰老岛附近海域
6.6,2023-12-03,18:35:56,8.45,126.85,50,菲律宾棉兰老岛附近海域
3.0,2023-12-03,15:14:51,24.26,98.10,10,云南德宏州芒市
5.9,2023-12-03,04:52:20,8.45,126.85,40,菲律宾棉兰老岛附近海域
6.2,2023-12-03,02:09:26,8.50,127.10,40,菲律宾棉兰老岛附近海域
6.0,2023-12-03,01:40:15,8.45,126.80,40,菲律宾棉兰老岛附近海域
6.1,2023-12-03,00:03:43,8.40,126.95,40,菲律宾棉兰老岛附近海域
7.6,2023-12-02,22:37:06,8.65,126.45,40,菲律宾棉兰老岛附近海域
5.8,2023-12-02,15:55:39,-19.20,-69.10,100,智利北部
4.0,2023-12-02,02:24:56,24.26,98.08,10,云南德宏州芒市
3.6,2023-12-02,02:16:23,24.25,98.07,10,云南德宏州芒市
3.0,2023-12-02,01:44:39,24.25,98.07,10,云南德宏州芒市
5.0,2023-12-02,01:36:33,24.26,98.08,10,云南德宏州芒市
3.0,2023-12-01,23:51:59,39.27,97.30,11,甘肃酒泉市肃北县
3.2,2023-12-01,23:04:50,39.33,97.29,10,甘肃酒泉市肃北县
5.0,2023-12-01,22:55:56,39.30,97.27,9,甘肃酒泉市肃北县
3.3,2023-12-01,09:25:11,27.16,104.16,8,贵州毕节市威宁县
3.8,2023-12-01,04:36:26,28.43,104.76,8,四川宜宾市珙县
3.2,2023-11-30,20:17:11,40.17,106.08,15,内蒙古阿拉善盟阿拉善左旗
4.1,2023-11-30,19:25:40,40.20,106.13,21,内蒙古阿拉善盟阿拉善左旗
5.8,2023-11-30,15:54:58,-56.30,-27.35,100,南桑威奇群岛
3.7,2023-11-30,03:44:10,37.53,112.47,28,山西太原市清徐县
3.0,2023-11-29,20:40:42,36.42,76.07,10,新疆喀什地区塔什库尔干县
3.0,2023-11-28,07:38:47,41.19,83.70,10,新疆阿克苏地区库车市
3.4,2023-11-28,07:30:13,25.46,105.75,10,贵州黔西南州贞丰县
3.7,2023-11-28,06:15:47,28.60,87.82,10,西藏日喀则市萨迦县
6.6,2023-11-28,05:46:47,-3.70,143.95,20,巴布亚新几内亚附近海域
